Leak_ID,Source_Platform,Leak_Type,Data_Snippet,Risk_Score,Pattern_Matched,Anomaly_Flag,Date_Detected,False_Positive
1,Pastebin,Payment Info,4392 4000 4306 6350,8,email_regex,Yes,2025-07-16,Yes
2,Public Forum,Payment Info,4159 9485 3414 4889,9,api_key_regex,No,2025-01-06,Yes
3,GitHub,API Key,AIzaSyD5935***,7,credit_card_regex,Yes,2025-06-04,No
4,Public Forum,Config File,DB_PASSWORD=secret810,9,password_env_regex,No,2025-01-01,No
5,GitHub,Config File,DB_PASSWORD=secret334,1,credit_card_regex,No,2025-04-28,No
6,Dark Web,Config File,DB_PASSWORD=secret715,9,username_password,Yes,2025-05-06,No
7,Pastebin,Source Code,function test99(){return true;},7,username_password,No,2025-05-20,Yes
8,Pastebin,Credentials,user104:pass131,4,email_regex,Yes,2025-04-18,Yes
9,GitHub,API Key,AIzaSyD7021***,10,email_regex,No,2025-01-11,Yes
10,Dark Web,Config File,DB_PASSWORD=secret603,9,api_key_regex,Yes,2024-09-06,No
11,Social Media,Source Code,function test79(){return true;},5,credit_card_regex,No,2025-05-16,Yes
12,GitHub,API Key,AIzaSyD1370***,5,username_password,Yes,2025-07-26,Yes
13,Social Media,Credentials,user977:pass457,1,api_key_regex,Yes,2025-03-06,Yes
14,GitHub,Payment Info,4716 8374 2913 6968,2,email_regex,No,2025-05-12,Yes
15,GitHub,Payment Info,4507 1038 1446 9744,4,api_key_regex,No,2024-12-31,Yes
16,Dark Web,Credentials,user419:pass201,9,password_env_regex,Yes,2024-08-17,Yes
17,Dark Web,Source Code,function test13(){return true;},10,credit_card_regex,Yes,2024-12-03,Yes
18,Dark Web,Config File,DB_PASSWORD=secret214,3,password_env_regex,Yes,2024-10-30,No
19,GitHub,API Key,AIzaSyD3137***,1,credit_card_regex,Yes,2024-11-28,No
20,Public Forum,Database Dump,db_row_4099,9,password_env_regex,Yes,2025-06-30,Yes
21,GitHub,API Key,AIzaSyD1206***,10,api_key_regex,No,2025-06-20,No
22,Public Forum,Payment Info,4691 8356 4705 7412,3,password_env_regex,No,2024-09-26,No
23,Public Forum,Credentials,user659:pass187,1,email_regex,Yes,2025-03-12,No
24,Social Media,Personal Data,"Name77, email18@example.com",1,credit_card_regex,Yes,2025-02-26,Yes
25,Pastebin,Payment Info,4230 6312 9394 7619,9,credit_card_regex,No,2025-04-29,No
26,Pastebin,Credentials,user246:pass293,1,api_key_regex,No,2025-01-17,Yes
27,GitHub,Confidential Document,ConfDoc_1876.pdf,2,api_key_regex,Yes,2024-11-03,No
28,GitHub,Credentials,user428:pass198,9,api_key_regex,Yes,2025-02-08,No
